,Total Complaints,Requested Entity to Stop Calling,Recorded Message
Oct-10,"147,617","71,226","65,071"
Nov-10,"144,027","69,908","64,126"
Dec-10,"137,299","66,255","60,349"
Jan-11,"163,794","80,628","77,359"
Feb-11,"174,922","85,136","86,536"
Mar-11,"213,742","98,909","109,981"
Apr-11,"172,473","81,132","79,592"
May-11,"189,166","91,184","93,475"
Jun-11,"229,771","109,660","123,460"
July-11,"211,030","103,298","109,238"
Aug-11,"238,533","119,559","126,405"
Sep-11,"250,288","127,289","140,503"
Oct-11,"261,423","149,363","133,009"
Nov-11,"254,405","144,731","130,710"
Dec-11,"261,316","154,858","134,908"
Jan-12,"311,764","190,329","158,793"
Feb-12,"336,437","203,989","171,103"
Mar-12,"360,106","216,338","183,203"
Apr-12,"354,556","212,283","182,226"
May-12,"358,100","201,144","170,187"
Jun-12,"338,373","189,838","164,818"
Jul-12,"328,916","187,620","164,417"
Aug-12,"347,961","207,829","177,572"
Sep-12,"327,215","201,699","167,383"
Oct-12,"370,018","234,871","196,287"
Nov-12,"282,091","175,598","144,818"
Dec-12,"261,350","160,578","134,758"
Jan-13,"332,607","205,534","168,070"
Feb-13,"330,682","199,460","159,236"
Mar-13,"343,016","202,149","162,646"
Apr-13,"302,876","169,564","139,779"
May-13,"275,586","147,579","129,926"
Jun-13,"272,803","146,845","124,506"
Jul-13,"316,128","174,020","148,463"
Aug-13,"333,262","185,705","155,624"
Sep-13,"328,236","180,258","149,672"
Oct-13,"158,082","85,167","76,529"
Nov-13,"251,809","141,272","127,539"
Dec-13,"228,103","128,930","118,666"
Jan-14,"276,988","145,732","139,071"
Feb-14,"270,844","137,523","135,714"
Mar-14,"284,250","143,127","143,861"
Apr-14,"293,174","148,567","152,146"
May-14,"285,437","144,604","152,430"
Jun-14,"278,166","141,859","147,697"
Jul-14,"295,108","153,709","158,260"
Aug-14,"314,173","184,876","165,923"
Sep-14,"304,952","179,237","160,597"
Oct-14,"310,339","183,591","160,428"
Nov-14,"233,411","135,027","121,374"
Dec-14,"231,543","136,694","122,120"
Jan-15,"282,833","169,592","147,479"
Feb-15,"285,063","170,046","150,665"
Mar-15,"339,126","203,169","176,711"
Apr-15,"341,163","206,054","174,283"
May-15,"301,065","177,082","151,842"
Jun-15,"300,195","174,890","150,216"
Jul-15,"322,865","194,336","161,702"
Aug-15,"316,044","187,173","155,551"
Sep-15,"315,073","188,320","151,526"