Complaints by Consumer State and Fiscal Year,,
ConsumerState,FY,Complaints
Alabama,2014,"49,226"
Alaska,2014,"2,391"
Arizona,2014,"85,520"
Arkansas,2014,"28,320"
California,2014,"493,458"
Colorado,2014,"69,087"
Connecticut,2014,"47,274"
Delaware,2014,"14,781"
District of Columbia,2014,"9,534"
Florida,2014,"225,693"
Georgia,2014,"89,251"
Hawaii,2014,"8,222"
Idaho,2014,"14,769"
Illinois,2014,"159,831"
Indiana,2014,"25,415"
Iowa,2014,"26,904"
Kansas,2014,"26,959"
Kentucky,2014,"31,042"
Louisiana,2014,"37,117"
Maine,2014,"11,534"
Maryland,2014,"88,702"
Massachusetts,2014,"69,728"
Michigan,2014,"108,608"
Minnesota,2014,"48,110"
Mississippi,2014,"13,868"
Missouri,2014,"32,387"
Montana,2014,"10,248"
Nebraska,2014,"17,378"
Nevada,2014,"33,638"
New Hampshire,2014,"15,570"
New Jersey,2014,"119,944"
New Mexico,2014,"18,931"
New York,2014,"217,028"
North Carolina,2014,"85,594"
North Dakota,2014,"2,977"
Ohio,2014,"113,385"
Oklahoma,2014,"27,325"
Oregon,2014,"46,828"
Pennsylvania,2014,"127,001"
Puerto Rico,2014,922
Rhode Island,2014,"12,598"
South Carolina,2014,"38,403"
South Dakota,2014,"6,530"
Tennessee,2014,"63,169"
Texas,2014,"202,069"
Utah,2014,"22,737"
Vermont,2014,"5,745"
Virginia,2014,"98,461"
Washington,2014,"74,254"
West Virginia,2014,"14,583"
Wisconsin,2014,"32,547"
Wyoming,2014,"5,915"
Alabama,2015,"46,251"
Alaska,2015,"2,121"
Arizona,2015,"94,115"
Arkansas,2015,"29,311"
California,2015,"543,089"
Colorado,2015,"77,012"
Connecticut,2015,"52,590"
Delaware,2015,"14,454"
District of Columbia,2015,"8,612"
Florida,2015,"245,482"
Georgia,2015,"99,316"
Hawaii,2015,"8,469"
Idaho,2015,"20,274"
Illinois,2015,"181,574"
Indiana,2015,"31,006"
Iowa,2015,"27,544"
Kansas,2015,"27,251"
Kentucky,2015,"32,618"
Louisiana,2015,"30,823"
Maine,2015,"11,345"
Maryland,2015,"91,730"
Massachusetts,2015,"99,025"
Michigan,2015,"113,735"
Minnesota,2015,"50,238"
Mississippi,2015,"19,874"
Missouri,2015,"36,240"
Montana,2015,"9,889"
Nebraska,2015,"17,159"
Nevada,2015,"41,771"
New Hampshire,2015,"17,128"
New Jersey,2015,"141,668"
New Mexico,2015,"24,150"
New York,2015,"246,627"
North Carolina,2015,"89,704"
North Dakota,2015,"3,032"
Ohio,2015,"124,918"
Oklahoma,2015,"33,109"
Oregon,2015,"50,704"
Pennsylvania,2015,"138,154"
Puerto Rico,2015,901
Rhode Island,2015,"12,248"
South Carolina,2015,"40,745"
South Dakota,2015,"6,556"
Tennessee,2015,"64,523"
Texas,2015,"225,427"
Utah,2015,"26,702"
Vermont,2015,"5,906"
Virginia,2015,"108,151"
Washington,2015,"87,190"
West Virginia,2015,"14,858"
Wisconsin,2015,"41,376"
Wyoming,2015,"6,959"
Alabama,2016,"66,804"
Alaska,2016,"2,114"
Arizona,2016,"134,200"
Arkansas,2016,"43,545"
California,2016,"739,341"
Colorado,2016,"103,228"
Connecticut,2016,"76,841"
Delaware,2016,"19,724"
District of Columbia,2016,"18,298"
Florida,2016,"385,480"
Georgia,2016,"168,469"
Hawaii,2016,"13,079"
Idaho,2016,"26,694"
Illinois,2016,"270,848"
Indiana,2016,"64,676"
Iowa,2016,"37,357"
Kansas,2016,"41,766"
Kentucky,2016,"52,370"
Louisiana,2016,"42,407"
Maine,2016,"15,863"
Maryland,2016,"126,475"
Massachusetts,2016,"136,110"
Michigan,2016,"178,728"
Minnesota,2016,"78,121"
Mississippi,2016,"25,217"
Missouri,2016,"56,656"
Montana,2016,"15,079"
Nebraska,2016,"30,089"
Nevada,2016,"50,395"
New Hampshire,2016,"24,811"
New Jersey,2016,"203,824"
New Mexico,2016,"32,310"
New York,2016,"360,212"
North Carolina,2016,"139,218"
North Dakota,2016,"5,088"
Ohio,2016,"198,250"
Oklahoma,2016,"46,454"
Oregon,2016,"70,398"
Pennsylvania,2016,"205,920"
Puerto Rico,2016,"1,188"
Rhode Island,2016,"20,148"
South Carolina,2016,"68,162"
South Dakota,2016,"9,301"
Tennessee,2016,"105,416"
Texas,2016,"382,641"
Utah,2016,"41,216"
Vermont,2016,"10,425"
Virginia,2016,"181,989"
Washington,2016,"110,031"
West Virginia,2016,"19,937"
Wisconsin,2016,"67,359"
Wyoming,2016,"8,563"
Alabama,2017,"107,991"
Alaska,2017,"3,041"
Arizona,2017,"169,695"
Arkansas,2017,"61,696"
California,2017,"824,627"
Colorado,2017,"129,600"
Connecticut,2017,"94,425"
Delaware,2017,"27,689"
District of Columbia,2017,"24,301"
Florida,2017,"587,999"
Georgia,2017,"242,239"
Hawaii,2017,"16,053"
Idaho,2017,"33,156"
Illinois,2017,"295,210"
Indiana,2017,"114,229"
Iowa,2017,"63,497"
Kansas,2017,"55,204"
Kentucky,2017,"72,110"
Louisiana,2017,"86,266"
Maine,2017,"29,495"
Maryland,2017,"150,319"
Massachusetts,2017,"156,001"
Michigan,2017,"265,462"
Minnesota,2017,"91,164"
Mississippi,2017,"39,969"
Missouri,2017,"74,100"
Montana,2017,"21,210"
Nebraska,2017,"43,255"
Nevada,2017,"69,639"
New Hampshire,2017,"36,401"
New Jersey,2017,"321,376"
New Mexico,2017,"37,653"
New York,2017,"454,079"
North Carolina,2017,"199,400"
North Dakota,2017,"9,881"
Ohio,2017,"276,661"
Oklahoma,2017,"61,962"
Oregon,2017,"93,121"
Pennsylvania,2017,"271,823"
Puerto Rico,2017,1638
Rhode Island,2017,"26,588"
South Carolina,2017,"99,618"
South Dakota,2017,"13,313"
Tennessee,2017,"158,896"
Texas,2017,"559,516"
Utah,2017,"66,227"
Vermont,2017,"14,892"
Virginia,2017,"232,796"
Washington,2017,"125,683"
West Virginia,2017,"28,737"
Wisconsin,2017,"98,350"
Wyoming,2017,"11,807"
Alabama,2018,"79,928"
Alaska,2018,"4,064"
Arizona,2018,"166,589"
Arkansas,2018,"42,865"
California,2018,"747,829"
Colorado,2018,"143,108"
Connecticut,2018,"83,343"
Delaware,2018,"18,806"
District of Columbia,2018,"17,135"
Florida,2018,"427,404"
Georgia,2018,"172,635"
Hawaii,2018,"19,698"
Idaho,2018,31524
Illinois,2018,"252,935"
Indiana,2018,"64,222"
Iowa,2018,"40,239"
Kansas,2018,"44,792"
Kentucky,2018,"57,890"
Louisiana,2018,"59,189"
Maine,2018,"20,020"
Maryland,2018,"127,143"
Massachusetts,2018,"119,103"
Michigan,2018,"197,421"
Minnesota,2018,"93,028"
Mississippi,2018,"27,910"
Missouri,2018,"71,942"
Montana,2018,"18,638"
Nebraska,2018,"35,670"
Nevada,2018,"77,316"
New Hampshire,2018,"24,566"
New Jersey,2018,"210,123"
New Mexico,2018,"33,432"
New York,2018,"348,651"
North Carolina,2018,"168,022"
North Dakota,2018,"7,489"
Ohio,2018,"216,675"
Oklahoma,2018,"50,808"
Oregon,2018,"98,126"
Pennsylvania,2018,"239,133"
Puerto Rico,2018,893
Rhode Island,2018,"18,691"
South Carolina,2018,"75,115"
South Dakota,2018,"9,521"
Tennessee,2018,"111,514"
Texas,2018,"402,316"
Utah,2018,"54,865"
Vermont,2018,"9,208"
Virginia,2018,"181,936"
Washington,2018,"130,920"
West Virginia,2018,"25,812"
Wisconsin,2018,"84,333"
Wyoming,2018,"9,389"
